"Team","Att","Cmp","Cmp %","Yds/Att","Pass Yds","TD","INT","Rate","1st","1st%","20+","40+","Lng","Sck","SckY","Year"
"Colts",601,402,66.9,7.7,4605,34,19,95.4,241,40.1,62,8,"80T",13,90,2009
"Cowboys",550,347,63.1,8.2,4483,26,9,97.6,203,36.9,61,17,"80T",34,196,2009
"Dolphins",545,331,60.7,6.2,3396,15,19,73.3,188,34.5,29,4,"67",34,226,2009
"Eagles",553,335,60.6,7.9,4380,27,13,92,182,32.9,65,21,"71T",38,291,2009
"Falcons",570,332,58.2,6.5,3697,26,17,80.4,192,33.7,39,5,"90T",27,126,2009
"Giants",542,338,62.4,7.8,4246,28,14,93.2,194,35.8,62,12,"74T",32,227,2009
"Jaguars",519,315,60.7,6.9,3599,15,10,83.2,170,32.8,44,6,"63",44,243,2009
"Jets",393,210,53.4,6.6,2596,12,21,62,131,33.3,37,8,"65T",30,216,2009
"Lions",585,316,54,5.9,3471,16,32,58.1,168,28.7,39,6,"75T",43,303,2009
"Packers",553,357,64.6,8.1,4492,30,8,101.8,201,36.3,55,17,"83T",51,312,2009
"Panthers",465,264,56.8,6.6,3070,16,20,70.5,152,32.7,39,10,"66",33,271,2009
"Patriots",592,390,65.9,7.7,4540,28,13,95.6,222,37.5,43,12,"81T",18,104,2009
"Raiders",485,255,52.6,5.9,2875,10,18,62,131,27,30,4,"86T",49,318,2009
"Rams",543,312,57.5,5.5,2970,12,21,64,159,29.3,32,2,"50",44,284,2009
"Ravens",510,321,62.9,7.1,3637,21,13,87.4,187,36.7,44,8,"72T",36,218,2009
"Redskins",533,340,63.8,7.1,3797,21,16,85.5,191,35.8,43,10,"84",46,307,2009
"Saints",544,378,69.5,8.3,4490,34,12,106,215,39.5,58,11,"75T",20,135,2009
"Seahawks",609,372,61.1,6.2,3771,20,19,76.7,184,30.2,39,6,"53",41,268,2009
"Steelers",536,351,65.5,8.4,4496,28,14,98.1,210,39.2,64,14,"60T",50,348,2009
"Texans",593,399,67.3,8.1,4803,29,17,96.3,231,39,63,15,"72T",25,149,2009
"Titans",476,271,56.9,6.5,3104,16,15,74.8,154,32.4,32,8,"69T",15,73,2009
"Vikings",553,377,68.2,8,4403,34,7,107.3,220,39.8,55,13,"63",34,247,2009
"49ers",500,282,56.4,7.2,3613,19,15,79.4,149,29.8,53,10,"66T",44,257,2010
"Bears",466,276,59.2,7.3,3397,23,21,79.5,163,35,42,6,"89T",56,382,2010
"Bengals",590,365,61.9,6.8,3988,26,20,82.4,206,34.9,45,9,"78T",28,221,2010
"Bills",519,296,57,6.5,3371,24,21,75.2,166,32,42,8,"65T",34,213,2010
"Broncos",580,334,57.6,7.4,4307,25,12,86.8,204,35.2,62,13,"71",40,269,2010
"Browns",478,296,61.9,6.7,3203,13,18,75,154,32.2,42,6,"65T",36,214,2010
"Buccaneers",494,306,61.9,7.2,3564,26,6,96.2,172,34.8,49,10,"64",30,203,2010
"Cardinals",561,285,50.8,5.8,3264,10,19,60.5,154,27.5,44,3,"74T",50,343,2010
"Chargers",544,359,66,8.7,4746,30,13,101.9,236,43.4,66,14,"59T",38,227,2010
"Chiefs",475,274,57.7,6.7,3189,27,8,90.1,167,35.2,40,4,"75T",32,221,2010
"Colts",679,450,66.3,6.9,4700,33,17,91.9,253,37.3,43,9,"73T",16,91,2010
"Cowboys",576,379,65.8,7.3,4208,29,19,90.4,201,34.9,57,8,"71T",31,166,2010
"Dolphins",557,335,60.1,6.7,3755,17,21,74.8,189,33.9,44,4,"57T",38,228,2010
"Eagles",561,348,62,7.5,4215,28,13,92.1,189,33.7,61,15,"91T",49,309,2010
"Falcons",577,361,62.6,6.5,3725,28,9,90.8,200,34.7,32,6,"46",23,158,2010
"Giants",539,339,62.9,7.4,4002,31,25,85.3,192,35.6,57,7,"92T",16,117,2010
"Jaguars",469,291,62,7.2,3356,26,21,83.4,161,34.3,47,6,"75",38,291,2010
"Jets",525,288,54.9,6.5,3420,20,14,76.5,171,32.6,44,11,"74T",28,178,2010
"Lions",633,383,60.5,6.3,4001,26,16,82,199,31.4,43,6,"87T",27,191,2010
"Packers",541,352,65.1,8,4355,31,13,98.9,204,37.7,57,11,"86T",38,231,2010
"Panthers",484,256,52.9,5.4,2635,9,21,57,125,25.8,30,3,"88T",50,346,2010
"Patriots",507,331,65.3,7.9,4022,37,5,109.8,196,38.7,54,10,"79T",25,175,2010
"Raiders",491,279,56.8,7.1,3471,18,16,77.5,159,32.4,45,12,"73T",44,291,2010
"Rams",590,354,60,6,3512,18,15,76.5,179,30.3,36,4,"49",34,244,2010
"Ravens",491,308,62.7,7.4,3629,25,10,93.6,175,35.6,40,7,"67",40,294,2010
"Redskins",605,349,57.7,7,4261,21,19,78,194,32.1,51,13,"76",46,348,2010
"Saints",661,450,68.1,7,4636,33,22,90.8,236,35.7,47,10,"80T",26,195,2010
"Seahawks",544,324,59.6,6.5,3536,14,20,72.1,159,29.2,39,11,"87T",35,195,2010
"Steelers",479,298,62.2,8.1,3890,22,9,95.2,175,36.5,62,11,"56T",43,289,2010
"Texans",574,365,63.6,7.6,4370,24,12,92,222,38.7,59,9,"60",32,226,2010
"Titans",474,273,57.6,6.9,3278,24,15,82.6,155,32.7,44,8,"80T",27,171,2010
"Vikings",505,305,60.4,6.6,3327,14,26,67.7,159,31.5,47,3,"53T",36,230,2010
"49ers",451,277,61.4,7.1,3193,18,5,91.4,150,33.3,41,6,"56T",44,263,2011
"Bears",473,268,56.7,7.1,3346,18,20,73.8,153,32.3,43,7,"81",49,335,2011
"Bengals",535,308,57.6,6.6,3507,21,14,79.6,160,29.9,51,11,"84",25,167,2011
"Bills",578,356,61.6,6.7,3857,24,25,77,180,31.1,48,8,"60T",23,154,2011
"Broncos",429,217,50.6,6.3,2708,20,13,73.5,130,30.3,36,8,"56T",42,274,2011
"Browns",570,320,56.1,5.8,3300,16,13,72.8,173,30.4,32,6,"76T",39,210,2011
"Buccaneers",588,365,62.1,6.5,3838,17,24,73.6,180,30.6,37,6,"65T",32,188,2011
"Cardinals",550,307,55.8,7.2,3954,21,23,73.9,175,31.8,55,15,"73T",54,387,2011
"Chargers",582,366,62.9,7.9,4624,27,20,88.7,234,40.2,69,8,"58",30,198,2011
"Chiefs",500,299,59.8,6.6,3288,13,18,73,163,32.6,39,7,"52T",34,208,2011
"Colts",534,302,56.6,6,3223,14,14,72.2,170,31.8,32,6,"87T",35,228,2011
"Cowboys",570,376,66,7.8,4453,33,12,100.1,219,38.4,58,11,"77",39,252,2011
"Dolphins",469,280,59.7,7.3,3425,20,13,84.9,166,35.4,56,7,"65T",52,334,2011
"Eagles",554,330,59.6,7.7,4276,22,25,78.3,197,35.6,64,10,"73",32,166,2011
"Falcons",594,365,61.4,7.3,4365,29,13,91.1,215,36.2,56,10,"80T",26,173,2011
"Giants",589,359,61,8.4,4933,29,16,92.9,216,36.7,67,18,"99T",28,199,2011
"Jaguars",469,240,51.2,5.4,2510,12,15,62.2,122,26,30,4,"74T",44,331,2011
"Jets",547,310,56.7,6.5,3542,26,18,78.4,173,31.6,41,3,"74",40,245,2011
"Lions",666,423,63.5,7.6,5071,41,16,97.2,244,36.6,65,16,"73T",36,257,2011
"Packers",552,376,68.1,9.3,5161,51,8,122.6,230,41.7,70,16,"93T",41,237,2011
"Panthers",519,312,60.1,7.9,4089,21,17,84.8,175,33.7,66,9,"91T",35,260,2011
"Patriots",612,402,65.7,8.6,5257,39,12,105.7,262,42.8,72,14,"99T",32,173,2011
"Raiders",524,315,60.1,7.9,4119,20,23,79.4,186,35.5,63,14,"78",25,157,2011
"Rams",549,292,53.2,5.9,3258,9,10,69,159,29,37,3,"68",55,388,2011
"Ravens",544,314,57.7,6.7,3629,21,12,81.7,181,33.3,44,7,"74T",33,206,2011
"Redskins",591,346,58.5,6.9,4058,19,24,73.3,204,34.5,57,7,"51",41,285,2011
"Saints",662,472,71.3,8.3,5505,46,14,110.5,280,42.3,69,11,"79T",24,158,2011
"Seahawks",509,299,58.7,6.8,3444,15,14,77.6,153,30.1,51,9,"61T",50,339,2011
"Steelers",539,341,63.3,8,4333,21,15,89.7,221,41,60,10,"95T",42,279,2011
"Texans",467,288,61.7,7.9,3696,20,9,92.7,176,37.7,55,11,"80T",33,190,2011
"Titans",584,353,60.4,7,4113,22,14,84.4,185,31.7,51,14,"80T",24,190,2011
"Vikings",510,286,56.1,6.4,3255,20,17,74.6,159,31.2,41,7,"72",49,298,2011
"49ers",436,289,66.3,8.1,3551,23,8,101.2,172,39.4,54,8,"57",41,253,2012
"Bears",485,287,59.2,6.8,3298,21,16,80.4,163,33.6,39,6,"60T",44,299,2012
"Bengals",540,335,62,7.1,3807,28,16,88.1,173,32,39,14,"73T",46,229,2012
"Bills",511,309,60.5,6.7,3430,24,17,82.2,176,34.4,44,7,"68T",30,161,2012
"Broncos",588,402,68.4,7.9,4671,37,11,105.3,232,39.5,64,7,"71T",21,137,2012
"Browns",566,328,58,6.5,3668,16,18,73.5,185,32.7,50,6,"71T",36,233,2012
"Buccaneers",566,311,54.9,7.3,4144,27,17,81.8,188,33.2,57,16,"95",26,161,2012
"Cardinals",608,337,55.4,5.6,3383,11,21,63.1,168,27.6,36,3,"53",58,378,2012
"Chargers",528,338,64,6.8,3606,26,15,88.5,184,34.8,41,3,"80T",49,311,2012
"Chiefs",475,273,57.5,6.2,2937,8,20,63.8,144,30.3,36,3,"57",40,224,2012
"Colts",628,339,54,7,4374,23,18,76.4,208,33.1,65,11,"70T",41,246,2012
"Cowboys",658,434,66,7.6,4992,29,19,91.3,237,36,55,9,"85T",36,263,2012
"Dolphins",504,293,58.1,6.8,3425,13,13,76.7,158,31.3,42,3,"80T",37,243,2012
"Eagles",618,367,59.4,6.6,4075,18,15,78.6,190,30.7,51,6,"77T",48,284,2012
"Falcons",615,422,68.6,7.7,4719,32,14,99.1,246,40,46,10,"80T",28,210,2012
"Giants",539,323,59.9,7.4,3967,26,15,87.2,187,34.7,50,10,"80T",20,142,2012
"Jaguars",586,328,56,6.4,3746,20,17,74.7,157,26.8,48,8,"81T",50,327,2012
"Jets",493,272,55.2,6.4,3178,14,19,68.3,162,32.9,40,6,"66",47,287,2012
"Lions",740,445,60.1,6.9,5139,22,17,81.5,272,36.8,67,10,"57",29,212,2012
"Packers",558,374,67,7.8,4342,40,8,108.3,213,38.2,55,9,"73",51,293,2012
"Panthers",490,284,58,8,3927,19,12,86.5,171,34.9,58,11,"82",36,244,2012
"Patriots",641,402,62.7,7.6,4844,34,9,97.7,256,39.9,57,8,"83T",27,182,2012
"Raiders",629,376,59.8,6.8,4292,24,16,82.4,200,31.8,52,10,"64T",27,208,2012
"Rams",557,332,59.6,6.8,3783,22,14,82.7,189,33.9,43,8,"80T",35,233,2012
"Ravens",560,334,59.6,7.1,3996,22,11,86.4,182,32.5,62,12,"61T",38,257,2012
